"","numid1","numid2","node1","node2","relation"
"1",16,12,"aoki","carter","Weekly"
"2",16,17,"aoki","dupper","Weekly"
"3",16,1,"aoki","hunt","Weekly"
"4",16,9,"aoki","mach","Weekly"
"5",16,4,"aoki","osborne","Weekly"
"6",20,16,"booker","aoki","Weekly"
"7",20,12,"booker","carter","Weekly"
"8",20,11,"booker","conway","Weekly"
"9",20,8,"booker","dempsey","Weekly"
"10",20,13,"booker","dunkin","Weekly"
"11",20,9,"booker","mach","Weekly"
"12",20,7,"booker","marsh","Weekly"
"13",20,14,"booker","mcgovern","Weekly"
"14",20,2,"booker","miller","Weekly"
"15",20,4,"booker","osborne","Weekly"
"16",20,15,"booker","palmer","Weekly"
"17",12,16,"carter","aoki","Weekly"
"18",12,20,"carter","booker","Weekly"
"19",12,11,"carter","conway","Weekly"
"20",12,13,"carter","dunkin","Weekly"
"21",12,17,"carter","dupper","Weekly"
"22",12,18,"carter","faust","Weekly"
"23",12,5,"carter","hill","Weekly"
"24",12,1,"carter","hunt","Weekly"
"25",12,9,"carter","mach","Weekly"
"26",12,7,"carter","marsh","Weekly"
"27",12,2,"carter","miller","Weekly"
"28",12,4,"carter","osborne","Weekly"
"29",12,15,"carter","palmer","Weekly"
"30",12,3,"carter","rogers","Weekly"
"31",12,19,"carter","sadler","Weekly"
"32",12,10,"carter","stempel","Weekly"
"33",11,12,"conway","carter","Weekly"
"34",11,8,"conway","dempsey","Weekly"
"35",11,17,"conway","dupper","Weekly"
"36",11,9,"conway","mach","Weekly"
"37",11,7,"conway","marsh","Weekly"
"38",11,14,"conway","mcgovern","Weekly"
"39",11,15,"conway","palmer","Weekly"
"40",11,10,"conway","stempel","Weekly"
"41",8,16,"dempsey","aoki","Weekly"
"42",8,20,"dempsey","booker","Weekly"
"43",8,12,"dempsey","carter","Weekly"
"44",8,11,"dempsey","conway","Weekly"
"45",8,13,"dempsey","dunkin","Weekly"
"46",8,9,"dempsey","mach","Weekly"
"47",8,7,"dempsey","marsh","Weekly"
"48",8,14,"dempsey","mcgovern","Weekly"
"49",8,2,"dempsey","miller","Weekly"
"50",8,4,"dempsey","osborne","Weekly"
"51",8,15,"dempsey","palmer","Weekly"
"52",8,19,"dempsey","sadler","Weekly"
"53",8,6,"dempsey","young","Weekly"
"54",13,20,"dunkin","booker","Weekly"
"55",17,16,"dupper","aoki","Weekly"
"56",17,12,"dupper","carter","Weekly"
"57",17,11,"dupper","conway","Weekly"
"58",17,18,"dupper","faust","Weekly"
"59",17,1,"dupper","hunt","Weekly"
"60",17,15,"dupper","palmer","Weekly"
"61",18,12,"faust","carter","Weekly"
"62",18,5,"faust","hill","Weekly"
"63",18,15,"faust","palmer","Weekly"
"64",18,3,"faust","rogers","Weekly"
"65",18,10,"faust","stempel","Weekly"
"66",5,18,"hill","faust","Weekly"
"67",5,15,"hill","palmer","Weekly"
"68",5,3,"hill","rogers","Weekly"
"69",5,10,"hill","stempel","Weekly"
"70",1,16,"hunt","aoki","Weekly"
"71",1,12,"hunt","carter","Weekly"
"72",1,11,"hunt","conway","Weekly"
"73",1,17,"hunt","dupper","Weekly"
"74",1,18,"hunt","faust","Weekly"
"75",1,14,"hunt","mcgovern","Weekly"
"76",1,15,"hunt","palmer","Weekly"
"77",1,3,"hunt","rogers","Weekly"
"78",9,16,"mach","aoki","Weekly"
"79",9,20,"mach","booker","Weekly"
"80",9,12,"mach","carter","Weekly"
"81",9,11,"mach","conway","Weekly"
"82",9,8,"mach","dempsey","Weekly"
"83",9,13,"mach","dunkin","Weekly"
"84",9,17,"mach","dupper","Weekly"
"85",9,18,"mach","faust","Weekly"
"86",9,5,"mach","hill","Weekly"
"87",9,7,"mach","marsh","Weekly"
"88",9,14,"mach","mcgovern","Weekly"
"89",9,2,"mach","miller","Weekly"
"90",9,4,"mach","osborne","Weekly"
"91",9,15,"mach","palmer","Weekly"
"92",9,3,"mach","rogers","Weekly"
"93",9,19,"mach","sadler","Weekly"
"94",9,10,"mach","stempel","Weekly"
"95",9,6,"mach","young","Weekly"
"96",7,9,"marsh","mach","Weekly"
"97",7,2,"marsh","miller","Weekly"
"98",7,19,"marsh","sadler","Weekly"
"99",7,6,"marsh","young","Weekly"
"100",14,16,"mcgovern","aoki","Weekly"
"101",14,20,"mcgovern","booker","Weekly"
"102",14,11,"mcgovern","conway","Weekly"
"103",14,8,"mcgovern","dempsey","Weekly"
"104",14,13,"mcgovern","dunkin","Weekly"
"105",14,17,"mcgovern","dupper","Weekly"
"106",14,5,"mcgovern","hill","Weekly"
"107",14,1,"mcgovern","hunt","Weekly"
"108",14,9,"mcgovern","mach","Weekly"
"109",14,7,"mcgovern","marsh","Weekly"
"110",14,2,"mcgovern","miller","Weekly"
"111",14,4,"mcgovern","osborne","Weekly"
"112",14,15,"mcgovern","palmer","Weekly"
"113",14,10,"mcgovern","stempel","Weekly"
"114",14,6,"mcgovern","young","Weekly"
"115",2,16,"miller","aoki","Weekly"
"116",2,20,"miller","booker","Weekly"
"117",2,12,"miller","carter","Weekly"
"118",2,8,"miller","dempsey","Weekly"
"119",2,13,"miller","dunkin","Weekly"
"120",2,17,"miller","dupper","Weekly"
"121",2,9,"miller","mach","Weekly"
"122",2,7,"miller","marsh","Weekly"
"123",2,14,"miller","mcgovern","Weekly"
"124",2,4,"miller","osborne","Weekly"
"125",2,15,"miller","palmer","Weekly"
"126",2,19,"miller","sadler","Weekly"
"127",4,16,"osborne","aoki","Weekly"
"128",4,20,"osborne","booker","Weekly"
"129",4,12,"osborne","carter","Weekly"
"130",4,11,"osborne","conway","Weekly"
"131",4,8,"osborne","dempsey","Weekly"
"132",4,13,"osborne","dunkin","Weekly"
"133",4,9,"osborne","mach","Weekly"
